x_acc,y_acc,z_acc,label
1663835670.1952484,1,000422, -000112, 017067
1663835670.2050798,1,000422, -000112, 017067
1663835670.2071342,1,000422, -000112, 017067
1663835670.2087328,1,000422, -000112, 017067
1663835670.2102742,1,000422, -000112, 017067
1663835670.2121572,1,000422, -000112, 017067
1663835670.213158,1,000422, -000112, 017067
1663835670.213158,1,000422, -000112, 017067
1663835670.216378,1,000441, -000116, 017065
1663835670.217403,1,000441, -000116, 017065
1663835670.217403,1,000441, -000116, 017065
1663835670.2199287,1,000441, -000116, 017065
1663835670.220924,1,000441, -000116, 017065
1663835670.2216241,1,000441, -000116, 017065
1663835670.2226207,1,000441, -000116, 017065
1663835670.2233047,1,000441, -000116, 017065
1663835670.2243016,1,000441, -000116, 017065
1663835670.2249775,1,000441, -000116, 017065
1663835670.225974,1,000421, -000128, 017058
1663835670.2266753,1,000421, -000128, 017058
1663835670.227672,1,000421, -000128, 017058
1663835670.22838,1,000421, -000128, 017058
1663835670.2293763,1,000421, -000128, 017058
1663835670.2298977,1,000421, -000128, 017058
1663835670.2308946,1,000421, -000128, 017058
1663835670.2312515,1,000421, -000128, 017058
1663835670.2322485,1,000422, -000112, 017067
1663835670.2322485,1,000422, -000112, 017067
1663835670.2332473,1,000422, -000112, 017067
1663835670.2342746,1,000420, -000102, 017038
1663835670.2352412,1,000420, -000102, 017038
1663835670.2362413,1,000420, -000102, 017038
1663835670.2363331,1,000420, -000102, 017038
1663835670.2373302,1,000420, -000102, 017038
1663835670.2377818,1,000420, -000102, 017038
1663835670.2387784,1,000420, -000102, 017038
1663835670.239011,1,000420, -000102, 017038
1663835670.240008,1,000420, -000102, 017038
1663835670.2401786,1,000420, -000102, 017038
1663835670.241176,1,000403, -000107, 017101
1663835670.2412927,1,000403, -000107, 017101
1663835670.24229,1,000403, -000107, 017101
1663835670.24229,1,000403, -000107, 017101
1663835670.2430215,1,000403, -000107, 017101
1663835670.2438152,1,000403, -000107, 017101
1663835670.2446876,1,000403, -000107, 017101
1663835670.2446876,1,000403, -000107, 017101
1663835670.2456827,1,000403, -000107, 017101
1663835670.2456827,1,000403, -000107, 017101
1663835670.2464163,1,000413, -000135, 017078
1663835670.24692,1,000413, -000135, 017078
1663835670.2483375,1,000413, -000135, 017078
1663835670.2483375,1,000413, -000135, 017078
1663835670.249367,1,000413, -000135, 017078
1663835670.2495408,1,000413, -000135, 017078
1663835670.2505376,1,000413, -000135, 017078
1663835670.250713,1,000413, -000135, 017078
1663835670.2517426,1,000413, -000135, 017078
1663835670.251872,1,000413, -000135, 017078
1663835670.251872,1,000413, -000135, 017078
1663835670.252869,1,000389, -000103, 017071
1663835670.2533178,1,000389, -000103, 017071
1663835670.2533178,1,000389, -000103, 017071
1663835670.254315,1,000389, -000103, 017071
1663835670.2547672,1,000389, -000103, 017071
1663835670.2547672,1,000389, -000103, 017071
1663835670.2559543,1,000389, -000103, 017071
1663835670.2559543,1,000389, -000103, 017071
1663835670.2569594,1,000389, -000103, 017071
1663835670.2569594,1,000389, -000103, 017071
1663835670.257985,1,000414, -000119, 017012
1663835670.257985,1,000411, -000114, 017033
1663835670.257985,1,000411, -000114, 017033
1663835670.2590709,1,000411, -000114, 017033
1663835670.2590709,1,000411, -000114, 017033
1663835670.2600682,1,000411, -000114, 017033
1663835670.2604291,1,000411, -000114, 017033
1663835670.2604291,1,000411, -000114, 017033
1663835670.261426,1,000411, -000114, 017033
1663835670.2617362,1,000411, -000114, 017033
1663835670.2617362,1,000411, -000114, 017033
1663835670.2627332,1,000424, -000131, 017038
1663835670.2629747,1,000424, -000131, 017038
1663835670.2629747,1,000424, -000131, 017038
1663835670.2639718,1,000424, -000131, 017038
1663835670.2642221,1,000424, -000131, 017038
1663835670.2642221,1,000424, -000131, 017038
1663835670.2652204,1,000424, -000131, 017038
1663835670.2655091,1,000424, -000131, 017038
1663835670.2655091,1,000424, -000131, 017038
1663835670.266506,1,000424, -000131, 017038
1663835670.2667785,1,000402, -000152, 017029
1663835670.2667785,1,000402, -000152, 017029
1663835670.2677755,1,000402, -000152, 017029
1663835670.2680871,1,000402, -000152, 017029
1663835670.2680871,1,000402, -000152, 017029
1663835670.269084,1,000402, -000152, 017029
1663835670.2693803,1,000402, -000152, 017029
1663835670.2693803,1,000402, -000152, 017029
1663835670.270384,1,000402, -000152, 017029
1663835670.27071,1,000402, -000152, 017029
1663835670.27071,1,000407, -000099, 017031
1663835670.2717068,1,000407, -000099, 017031
1663835670.271908,1,000407, -000099, 017031
1663835670.271908,1,000407, -000099, 017031
1663835670.272905,1,000407, -000099, 017031
1663835670.2730973,1,000407, -000099, 017031
1663835670.2730973,1,000407, -000099, 017031
1663835670.2740943,1,000407, -000099, 017031
1663835670.274322,1,000407, -000099, 017031
1663835670.274322,1,000407, -000099, 017031
1663835670.275319,1,000421, -000105, 017052
1663835670.275511,1,000421, -000105, 017052
1663835670.275511,1,000421, -000105, 017052
1663835670.276508,1,000421, -000105, 017052
1663835670.2767632,1,000421, -000105, 017052
1663835670.2767632,1,000421, -000105, 017052
1663835670.2777603,1,000421, -000105, 017052
1663835670.277975,1,000421, -000105, 017052
1663835670.277975,1,000421, -000105, 017052
1663835670.2789724,1,000421, -000105, 017052
1663835670.2791708,1,000422, -000135, 017016
